Estructura/Tarea,Tamaño,Tiempo (microsegundos)
n^e,0,0
e^n,0,0
n^e,0,0
e^n,0,0
n^e,0,0
e^n,0,0
n^e,0,0
e^n,0,0
n^e,0,0
e^n,0,0
n^e,0,0
e^n,0,0
n^e,0,0
e^n,0,0
n^e,0,0
e^n,0,0
n^e,0,0
e^n,0,0
n^e,0,0
e^n,0,0
n^e,0,0
e^n,0,0
n^e,1,0
e^n,1,0
n^e,1,0
e^n,1,0
n^e,1,0
e^n,1,0
n^e,1,0
e^n,1,0
n^e,1,0
e^n,1,0
n^e,1,0
e^n,1,0
n^e,1,0
e^n,1,0
n^e,1,0
e^n,1,0
n^e,1,0
e^n,1,0
n^e,2,0
e^n,2,0
n^e,2,0
e^n,2,0
n^e,2,0
e^n,2,0
n^e,2,0
e^n,2,0
n^e,2,0
e^n,2,0
n^e,2,0
e^n,2,0
n^e,2,0
e^n,2,0
n^e,2,0
e^n,2,0
n^e,2,0
e^n,2,0
n^e,2,0
e^n,2,0
n^e,3,0
e^n,3,0
n^e,3,0
e^n,3,0
n^e,3,0
e^n,3,0
n^e,3,0
e^n,3,0
n^e,3,0
e^n,3,0
n^e,3,0
e^n,3,0
n^e,3,0
e^n,3,0
n^e,3,0
e^n,3,0
n^e,3,0
e^n,3,0
n^e,3,0
e^n,3,0
n^e,4,0
e^n,4,0
n^e,4,0
e^n,4,0
n^e,4,0
e^n,4,0
n^e,4,0
e^n,4,0
n^e,4,0
e^n,4,0
n^e,4,0
e^n,4,0
n^e,4,0
e^n,4,0
n^e,4,0
e^n,4,0
n^e,4,0
e^n,4,0
n^e,4,0
e^n,4,0
n^e,4,0
e^n,4,0
n^e,5,0
e^n,5,0
n^e,5,0
e^n,5,0
n^e,5,0
e^n,5,0
n^e,5,0
e^n,5,0
n^e,5,0
e^n,5,0
n^e,5,0
e^n,5,0
n^e,5,0
e^n,5,0
n^e,5,0
e^n,5,0
n^e,5,0
e^n,5,0
n^e,5,0
e^n,5,0
n^e,6,0
e^n,6,0
n^e,6,0
e^n,6,0
n^e,6,0
e^n,6,0
n^e,6,0
e^n,6,0
n^e,6,0
e^n,6,0
n^e,6,0
e^n,6,0
n^e,6,0
e^n,6,0
n^e,6,0
e^n,6,0
n^e,6,0
e^n,6,0
n^e,6,0
e^n,6,0
n^e,7,0
e^n,7,0
n^e,7,0
e^n,7,0
n^e,7,0
e^n,7,0
n^e,7,0
e^n,7,0
n^e,7,0
e^n,7,0
n^e,7,0
e^n,7,0
n^e,7,0
e^n,7,0
n^e,7,0
e^n,7,0
n^e,7,0
e^n,7,0
n^e,7,0
e^n,7,0
n^e,8,0
e^n,8,0
n^e,8,0
e^n,8,0
n^e,8,0
e^n,8,0
n^e,8,0
e^n,8,0
n^e,8,0
e^n,8,0
n^e,8,0
e^n,8,0
n^e,8,0
e^n,8,0
n^e,8,0
e^n,8,0
n^e,8,0
e^n,8,0
n^e,8,0
e^n,8,0
n^e,9,0
e^n,9,0
n^e,9,0
e^n,9,0
n^e,9,0
e^n,9,0
n^e,9,0
e^n,9,0
n^e,9,0
e^n,9,0
n^e,9,0
e^n,9,0
n^e,9,0
e^n,9,0
n^e,9,0
e^n,9,0
n^e,9,0
e^n,9,0
n^e,9,0
e^n,9,0
